name,calories_per_100g,country,category
Steak 797,421,Italy,Dessert
Falafel 798,349,UK,Grain
Ramen 799,490,Middle East,Grain
Ramen 800,453,India,Dessert
Chicken Curry 801,85,UK,Fast Food
Couscous 802,458,USA,Beverage
Milk 803,65,India,Beverage
Kebab 804,381,Nigeria,Beverage
Egg Omelette 805,235,Middle East,Fruit
Ramen 806,191,Middle East,Beverage
Jollof Rice 807,96,China,Vegetable
Paneer 808,466,UK,Fruit
Dal 809,276,China,Beverage
Roti 810,278,Italy,Fast Food
Coffee 811,462,Italy,Protein
Pasta 812,62,Japan,Fruit
Paneer 813,244,France,Vegetable
Ramen 814,398,Japan,Fruit
Falafel 815,253,Mexico,Protein
Dosa 816,197,Japan,Bakery
Paneer 817,251,China,Fruit
Sandwich 818,302,India,Bakery
Sandwich 819,197,Italy,Grain
Milk 820,188,Mexico,Bakery
Tea 821,460,USA,Protein
Dal 822,76,USA,Vegetable
Coffee 823,434,USA,Bakery
Kebab 824,427,India,Beverage
Fries 825,88,Nigeria,Fast Food
Pasta 826,398,UK,Bakery
Noodles 827,416,Middle East,Grain
Roti 828,363,Middle East,Grain
Pizza 829,383,Japan,Snack
Coffee 830,420,Middle East,Protein
Tea 831,83,Italy,Grain
Pizza 832,424,Nigeria,Fruit
Idli 833,478,India,Protein
Fries 834,145,Nigeria,Bakery
Pizza 835,453,India,Grain
Hummus 836,371,India,Snack
Salad 837,105,China,Beverage
Kebab 838,84,France,Bakery
Burger 839,338,Italy,Vegetable
Biryani 840,382,Japan,Protein
Egg Omelette 841,312,Mexico,Bakery
Roti 842,207,Nigeria,Snack
Dal 843,234,Middle East,Snack
Falafel 844,341,UK,Vegetable
Steak 845,463,UK,Fast Food
Tea 846,174,France,Protein
Dosa 847,95,India,Fast Food
Poha 848,197,Japan,Beverage
Roti 849,104,Japan,Protein
Couscous 850,154,UK,Dessert
Chicken Curry 851,398,USA,Fruit
Juice 852,93,Mexico,Vegetable
Steak 853,399,France,Dessert
Pizza 854,436,Nigeria,Beverage
Salad 855,133,Mexico,Fruit
Croissant 856,277,China,Protein
Ramen 857,498,Middle East,Dessert
Pasta 858,347,France,Vegetable
Ramen 859,309,UK,Fruit
Noodles 860,222,UK,Dessert
Soup 861,379,UK,Protein
Chicken Curry 862,437,China,Snack
Noodles 863,151,UK,Beverage
Soup 864,356,Middle East,Bakery
Kebab 865,308,India,Grain
Sushi 866,200,China,Fruit
Couscous 867,441,USA,Dessert
Kebab 868,439,Nigeria,Fruit
Hummus 869,393,China,Snack
Couscous 870,78,UK,Fast Food
Coffee 871,264,USA,Beverage
Soup 872,452,China,Grain
Egg Omelette 873,72,China,Grain
Milk 874,289,Japan,Snack
Egg Omelette 875,483,Japan,Fruit
Sandwich 876,212,UK,Snack
Sandwich 877,259,UK,Snack
Croissant 878,262,Italy,Bakery
Dosa 879,353,Mexico,Fruit
Pizza 880,323,Japan,Bakery
Ramen 881,74,France,Fast Food
Dosa 882,131,Middle East,Bakery
Couscous 883,362,Nigeria,Bakery
Salad 884,329,Japan,Fast Food
Steak 885,128,USA,Vegetable
Coffee 886,296,Middle East,Snack
Tea 887,324,Middle East,Snack
Egg Omelette 888,408,Italy,Dessert
Falafel 889,245,Middle East,Fruit
Fish Fry 890,466,Italy,Fruit
Juice 891,99,USA,Protein
Dal 892,178,Middle East,Protein
Sushi 893,147,Nigeria,Dessert
Poha 894,320,Middle East,Grain
Dosa 895,422,UK,Snack
Sandwich 896,340,USA,Beverage
Fish Fry 897,209,Mexico,Bakery
Soup 898,480,USA,Protein
Roti 899,155,India,Beverage
Fish Fry 900,69,Middle East,Snack
Hummus 901,324,China,Beverage
Chicken Curry 902,127,USA,Beverage
Pizza 903,266,India,Grain
Jollof Rice 904,371,China,Fast Food
Juice 905,65,Middle East,Fruit
Tea 906,160,Nigeria,Vegetable
Steak 907,127,Japan,Grain
Juice 908,487,France,Vegetable
Croissant 909,177,Mexico,Protein
Fries 910,327,Japan,Fruit
Rice 911,470,India,Bakery
Pasta 912,426,Italy,Vegetable
Falafel 913,288,India,Dessert
Sandwich 914,150,Nigeria,Snack
Falafel 915,267,China,Bakery
Falafel 916,215,Nigeria,Fast Food
Pizza 917,348,USA,Protein
Dal 918,194,France,Fast Food
Rice 919,282,Middle East,Fast Food
Burger 920,54,Japan,Beverage
Tea 921,105,Italy,Vegetable
Burger 922,54,France,Grain
Salad 923,388,UK,Bakery
Egg Omelette 924,443,UK,Snack
Biryani 925,425,China,Protein
Biryani 926,242,Mexico,Snack
Tea 927,259,Nigeria,Protein
Juice 928,300,France,Dessert
Salad 929,132,Nigeria,Vegetable
Poha 930,312,Italy,Protein
Paneer 931,223,India,Bakery
Sandwich 932,474,Japan,Fast Food
Kebab 933,183,Japan,Grain
Fish Fry 934,439,UK,Dessert
Dosa 935,419,Middle East,Beverage
Roti 936,441,Japan,Grain
Burger 937,252,France,Protein
Fries 938,442,China,Fruit
Soup 939,51,India,Bakery
Burger 940,458,Nigeria,Protein
Pasta 941,480,USA,Protein
Soup 942,74,Japan,Beverage
Fries 943,284,France,Protein
Fish Fry 944,267,France,Dessert
Biryani 945,369,Mexico,Vegetable
Coffee 946,373,USA,Protein
Rice 947,300,India,Protein
Steak 948,277,USA,Vegetable
Steak 949,433,Italy,Beverage
Rice 950,198,Middle East,Bakery
Ramen 951,345,Nigeria,Snack
Roti 952,341,China,Vegetable
Paneer 953,462,Nigeria,Fast Food
Falafel 954,278,France,Protein
Pasta 955,142,India,Bakery
Idli 956,124,Middle East,Fruit
Falafel 957,389,Nigeria,Beverage
Salad 958,345,France,Dessert
Ramen 959,383,UK,Fast Food
Soup 960,194,China,Vegetable
Roti 961,190,USA,Protein
Milk 962,158,Mexico,Beverage
Fish Fry 963,321,China,Fruit
Noodles 964,56,Italy,Dessert
Chicken Curry 965,96,Italy,Grain
Croissant 966,115,India,Grain
Chicken Curry 967,303,Italy,Beverage
Poha 968,388,India,Dessert
Jollof Rice 969,338,France,Beverage
Kebab 970,238,China,Snack
Paneer 971,319,Mexico,Beverage
Tea 972,278,Japan,Snack
Noodles 973,315,France,Dessert
Noodles 974,238,India,Grain
Pasta 975,464,Middle East,Beverage
Fish Fry 976,96,UK,Fruit
Burger 977,388,Nigeria,Protein
Kebab 978,123,Middle East,Bakery
Noodles 979,471,Nigeria,Protein
Sandwich 980,398,Italy,Bakery
Pasta 981,330,Middle East,Bakery
Salad 982,498,Italy,Vegetable
Kebab 983,344,Italy,Beverage
Soup 984,305,Mexico,Vegetable
Burger 985,72,Japan,Vegetable
Idli 986,490,Nigeria,Protein
Soup 987,359,France,Protein
Dosa 988,496,USA,Snack
Pizza 989,325,Mexico,Fast Food
Dal 990,242,France,Vegetable
Tea 991,255,UK,Bakery
Jollof Rice 992,369,China,Dessert
Steak 993,117,France,Fruit
Ramen 994,481,Middle East,Vegetable
Couscous 995,452,Japan,Vegetable
Egg Omelette 996,108,Middle East,Grain
Paneer 997,454,France,Grain
Roti 998,409,Italy,Vegetable
Chicken Curry 999,69,Middle East,Fruit
